OffspCollection	Kid	Pa	Ma	PopName	SpawnYear	FDR	Pvalue	LOD	P.Pr.C_Se_Se	P.Pr.Max	MaxP.Pr.Relat	TotPaNonExc	TotMaNonExc	TotUnkNonExc	TotPairsNonExc	KidMiss	PaMiss	MaMiss	MI.Kid.Pa	MI.Kid.Ma	MI.Trio	MendIncLoci
Fishery2011	T073688	---	---	---	---	---	---	---	---	---	---	4	8	0	0	0	---	---	---	---	---	---
Fishery2011	T073689	---	---	---	---	---	---	---	---	---	---	14	13	0	0	0	---	---	---	---	---	---
Fishery2011	T073690	---	---	---	---	---	---	---	---	---	---	91	71	0	0	0	---	---	---	---	---	---
Fishery2011	T073691	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073692	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073693	---	---	---	---	---	---	---	---	---	---	0	1	0	0	0	---	---	---	---	---	---
Fishery2011	T073694	---	---	---	---	---	---	---	---	---	---	3	4	0	0	1	---	---	---	---	---	---
Fishery2011	T073695	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073696	T071551	T071589	FRHfa	2008	0.000000	0.000000	22.451897	0.999008	0.999008	C_Se_Se	51	57	0	1	0	1	1	0	0	0	---
Fishery2011	T073697	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073698	T069998	T069997	FRHfa	2008	0.000000	0.000000	22.439193	0.998995	0.998995	C_Se_Se	141	161	0	2	0	0	0	0	0	0	---
Fishery2011	T073699	---	---	---	---	---	---	---	---	---	---	270	292	1	0	0	---	---	---	---	---	---
Fishery2011	T073700	---	---	---	---	---	---	---	---	---	---	4	3	0	0	0	---	---	---	---	---	---
Fishery2011	T073701	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073702	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073703	---	---	---	---	---	---	---	---	---	---	2	1	0	0	0	---	---	---	---	---	---
Fishery2011	T073704	---	---	---	---	---	---	---	---	---	---	33	24	0	0	0	---	---	---	---	---	---
Fishery2011	T073705	---	---	---	---	---	---	---	---	---	---	12	13	0	0	0	---	---	---	---	---	---
Fishery2011	T073706	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073707	---	---	---	---	---	---	---	---	---	---	27	28	0	0	0	---	---	---	---	---	---
Fishery2011	T073708	---	---	---	---	---	---	---	---	---	---	10	7	0	0	0	---	---	---	---	---	---
Fishery2011	T073709	---	---	---	---	---	---	---	---	---	---	50	57	0	0	0	---	---	---	---	---	---
Fishery2011	T073710	---	---	---	---	---	---	---	---	---	---	16	21	0	0	0	---	---	---	---	---	---
Fishery2011	T073711	---	---	---	---	---	---	---	---	---	---	0	3	0	0	0	---	---	---	---	---	---
Fishery2011	T073712	---	---	---	---	---	---	---	---	---	---	12	21	0	0	0	---	---	---	---	---	---
Fishery2011	T073713	---	---	---	---	---	---	---	---	---	---	33	39	0	0	0	---	---	---	---	---	---
Fishery2011	T073714	---	---	---	---	---	---	---	---	---	---	20	18	0	0	0	---	---	---	---	---	---
Fishery2011	T073715	---	---	---	---	---	---	---	---	---	---	38	54	0	0	0	---	---	---	---	---	---
Fishery2011	T073717	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073718	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073719	---	---	---	---	---	---	---	---	---	---	22	19	0	0	0	---	---	---	---	---	---
Fishery2011	T073720	---	---	---	---	---	---	---	---	---	---	11	5	0	0	1	---	---	---	---	---	---
Fishery2011	T073721	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073722	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073723	---	---	---	---	---	---	---	---	---	---	34	35	0	0	0	---	---	---	---	---	---
Fishery2011	T073724	---	---	---	---	---	---	---	---	---	---	17	20	0	0	0	---	---	---	---	---	---
Fishery2011	T073725	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073726	---	---	---	---	---	---	---	---	---	---	7	9	0	0	1	---	---	---	---	---	---
Fishery2011	T073727	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073728	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073729	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073730	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073731	---	---	---	---	---	---	---	---	---	---	53	57	0	0	0	---	---	---	---	---	---
Fishery2011	T073732	---	---	---	---	---	---	---	---	---	---	2	2	0	0	1	---	---	---	---	---	---
Fishery2011	T073733	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073734	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073735	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073736	---	---	---	---	---	---	---	---	---	---	33	45	0	0	1	---	---	---	---	---	---
Fishery2011	T073737	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073738	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073740	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073741	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073742	---	---	---	---	---	---	---	---	---	---	53	62	0	0	0	---	---	---	---	---	---
Fishery2011	T073743	---	---	---	---	---	---	---	---	---	---	8	8	0	0	0	---	---	---	---	---	---
Fishery2011	T073744	---	---	---	---	---	---	---	---	---	---	117	138	0	0	0	---	---	---	---	---	---
Fishery2011	T073745	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073747	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073748	---	---	---	---	---	---	---	---	---	---	3	1	0	0	0	---	---	---	---	---	---
Fishery2011	T073749	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073750	---	---	---	---	---	---	---	---	---	---	2	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073751	T069051	T068983	FRHfa	2008	0.000000	0.000000	21.499349	0.997432	0.997432	C_Se_Se	61	77	0	2	1	1	0	0	0	0	---
Fishery2011	T073752	T066987	T067210	FRHfa	2008	0.141454	0.310000	7.769525	0.000423	0.677167	C_U_U	471	552	0	3	0	1	1	0	1	4	Ots_128302.57,Ots_mybp.85,Ots_u07.49.290,Ots_111681.657
Fishery2011	T073753	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073754	---	---	---	---	---	---	---	---	---	---	0	2	0	0	0	---	---	---	---	---	---
Fishery2011	T073755	---	---	---	---	---	---	---	---	---	---	2	6	0	0	0	---	---	---	---	---	---
Fishery2011	T073756	---	---	---	---	---	---	---	---	---	---	17	13	0	0	0	---	---	---	---	---	---
Fishery2011	T073757	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073758	---	---	---	---	---	---	---	---	---	---	88	102	0	0	0	---	---	---	---	---	---
Fishery2011	T073759	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
