OffspCollection	Kid	Pa	Ma	PopName	SpawnYear	FDR	Pvalue	LOD	P.Pr.C_Se_Se	P.Pr.Max	MaxP.Pr.Relat	TotPaNonExc	TotMaNonExc	TotUnkNonExc	TotPairsNonExc	KidMiss	PaMiss	MaMiss	MI.Kid.Pa	MI.Kid.Ma	MI.Trio	MendIncLoci
Fishery2011	T073211	---	---	---	---	---	---	---	---	---	---	78	100	0	0	0	---	---	---	---	---	---
Fishery2011	T073212	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073213	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073214	---	---	---	---	---	---	---	---	---	---	2	6	0	0	0	---	---	---	---	---	---
Fishery2011	T073215	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073216	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073217	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073218	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073219	---	---	---	---	---	---	---	---	---	---	12	12	0	0	0	---	---	---	---	---	---
Fishery2011	T073220	---	---	---	---	---	---	---	---	---	---	92	91	0	0	0	---	---	---	---	---	---
Fishery2011	T073221	---	---	---	---	---	---	---	---	---	---	5	7	0	0	0	---	---	---	---	---	---
Fishery2011	T073222	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073223	---	---	---	---	---	---	---	---	---	---	1	1	0	0	0	---	---	---	---	---	---
Fishery2011	T073224	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073225	T071303	T071327	FRHfa	2008	0.000000	0.000000	21.460454	0.997330	0.997330	C_Se_Se	100	105	0	3	0	0	0	0	0	0	---
Fishery2011	T073226	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073227	---	---	---	---	---	---	---	---	---	---	19	28	0	0	0	---	---	---	---	---	---
Fishery2011	T073228	---	---	---	---	---	---	---	---	---	---	83	91	0	0	0	---	---	---	---	---	---
