"","PopulationOfOrigin","NumberOfLoci","AK.EastBC.AB","Wa.To.NorCalCoast","CentCalCoast","CalSierra","Basin.Rockies","Eastern","MaxColumn","MaxPosterior"
"wOREL02","wOREL",95,0.00024,0,0,0,0.99975,0,"Basin.Rockies",0.99975
"wOREL03","wOREL",95,0.14378,0.00149,0,0,0.85473,0,"Basin.Rockies",0.85473
"wOREL04","wOREL",96,0.06424,0,0,0,0.93576,0,"Basin.Rockies",0.93576
"wOREL05","wOREL",95,0.95151,0.00053,0,0,0.04795,0,"AK.EastBC.AB",0.95151
"wOREL08","wOREL",95,0.05565,2e-05,0,0,0.94434,0,"Basin.Rockies",0.94434
"wOREL09","wOREL",96,0.61011,1e-05,0,0,0.38989,0,"AK.EastBC.AB",0.61011
"wOREL10","wOREL",96,4e-05,0,0,0,0.99996,0,"Basin.Rockies",0.99996
"wOREL11","wOREL",96,0.0627,0.00026,0,0,0.93703,0,"Basin.Rockies",0.93703
"wOREL12","wOREL",94,0.17706,0.00023,0,0,0.82271,0,"Basin.Rockies",0.82271
"wOREL13","wOREL",95,0.99913,5e-05,0,0,0.00081,0,"AK.EastBC.AB",0.99913
"wOREL14","wOREL",96,4e-05,0,0,0,0.99996,0,"Basin.Rockies",0.99996
"wOREL15","wOREL",95,0.06032,0,0,0,0.93968,0,"Basin.Rockies",0.93968
"wOREL16","wOREL",95,0.01289,0,0,0,0.9871,0,"Basin.Rockies",0.9871
"wOREL17","wOREL",96,0.01043,5e-05,0,0,0.9895,0,"Basin.Rockies",0.9895
"wOREL18","wOREL",96,0.00167,1e-05,0,0,0.99831,0,"Basin.Rockies",0.99831
"wOREL19","wOREL",94,0.16786,1e-04,0,0,0.83206,0,"Basin.Rockies",0.83206
"wOREL20","wOREL",96,0.00353,0,0,0,0.99648,0,"Basin.Rockies",0.99648
"wOREL21","wOREL",94,0.77834,0,0,0,0.22166,0,"AK.EastBC.AB",0.77834
"wOREL22","wOREL",96,0.55678,0,0,0,0.44321,0,"AK.EastBC.AB",0.55678
"wOREL23","wOREL",96,0.16689,0.00262,0,0,0.83049,0,"Basin.Rockies",0.83049
"wOREL24","wOREL",96,0.72971,0,0,0,0.27029,0,"AK.EastBC.AB",0.72971
"wOREL25","wOREL",95,0.35073,0,0,0,0.64926,0,"Basin.Rockies",0.64926
"wOREL26","wOREL",96,0.09419,0,0,0,0.90581,0,"Basin.Rockies",0.90581
"wOREL27","wOREL",94,0.00332,0,0,0,0.99667,0,"Basin.Rockies",0.99667
"wCOPP01","wCOPP",96,0,0,0,0,1,0,"Basin.Rockies",1
"wCOPP03","wCOPP",96,0.00011,0,0,0,0.99989,0,"Basin.Rockies",0.99989
"wCOPP04","wCOPP",92,2e-05,0,0,0,0.99997,0,"Basin.Rockies",0.99997
"wCOPP06","wCOPP",95,0,0,0,0,1,0,"Basin.Rockies",1
"wCOPP07","wCOPP",96,0,0,0,0,1,0,"Basin.Rockies",1
"wCOPP08","wCOPP",96,0.00036,0,0,0,0.99964,0,"Basin.Rockies",0.99964
"wCOPP09","wCOPP",94,0,0,0,0,1,0,"Basin.Rockies",1
"wCOPP10","wCOPP",95,0,0,0,0,0.99999,0,"Basin.Rockies",0.99999
"wCOPP11","wCOPP",96,4e-05,0,0,0,0.99997,0,"Basin.Rockies",0.99997
"wCOPP12","wCOPP",94,7e-05,0,0,0,0.99993,0,"Basin.Rockies",0.99993
"wCOPP13","wCOPP",96,0,0,0,0,1,0,"Basin.Rockies",1
"wCOPP14","wCOPP",94,0,0,0,0,1,0,"Basin.Rockies",1
"wCOPP16","wCOPP",96,0,0,0,0,1,0,"Basin.Rockies",1
"wCOPP17","wCOPP",95,0,0,0,0,1,0,"Basin.Rockies",1
"wCOPP18","wCOPP",96,0,0,0,0,0.99999,0,"Basin.Rockies",0.99999
"wCOPP19","wCOPP",95,0,0,0,0,1,0,"Basin.Rockies",1
"wCOPP20","wCOPP",94,3e-05,0,0,0,0.99997,0,"Basin.Rockies",0.99997
"wCOPP21","wCOPP",94,0,0,0,0,1,0,"Basin.Rockies",1
"wCOPP22","wCOPP",95,0,0,0,0,1,0,"Basin.Rockies",1
"wCOGM01","wCOGM",92,0,0,0,0,1.00001,0,"Basin.Rockies",1.00001
"wCOGM02","wCOGM",95,1e-05,0,0,0,1,0,"Basin.Rockies",1
"wCOGM03","wCOGM",94,0,0,0,0,1,0,"Basin.Rockies",1
"wCOGM04","wCOGM",94,0,0,0,0,1,0,"Basin.Rockies",1
"wCOGM06","wCOGM",91,0,0,0,0,1,0,"Basin.Rockies",1
"wCOGM07","wCOGM",91,0,0,0,0,0.99999,0,"Basin.Rockies",0.99999
"wCOGM08","wCOGM",95,0,0,0,0,1.00001,0,"Basin.Rockies",1.00001
"wCOGM09","wCOGM",93,0,0,0,0,1,0,"Basin.Rockies",1
"wCOGM10","wCOGM",94,0,0,0,0,1,0,"Basin.Rockies",1
"wCOGM11","wCOGM",95,0,0,0,0,1,0,"Basin.Rockies",1
"wCOGM13","wCOGM",95,0,0,0,0,0.99999,0,"Basin.Rockies",0.99999
"eQCCM01","eQCCM",95,0,0,0,0,0,1,"Eastern",1
"eQCCM02","eQCCM",95,0,0,0,0,0,1.00001,"Eastern",1.00001
"eQCCM03","eQCCM",94,0,0,0,0,0,1,"Eastern",1
"eQCCM04","eQCCM",94,0,0,0,0,0,1,"Eastern",1
"eQCCM05","eQCCM",94,0,0,0,0,0,1,"Eastern",1
"eQCCM06","eQCCM",93,0,0,0,0,0,1,"Eastern",1
"eQCCM07","eQCCM",92,0,0,0,0,0,1,"Eastern",1
"eQCCM08","eQCCM",95,0,0,0,0,0,1.00001,"Eastern",1.00001
"eQCCM09","eQCCM",94,0,0,0,0,0,1,"Eastern",1
"eQCCM10","eQCCM",95,0,0,0,0,0,1,"Eastern",1
"eQCCM11","eQCCM",94,0,0,0,0,0,1,"Eastern",1
"eQCCM12","eQCCM",95,0,0,0,0,0,1,"Eastern",1
"eQCCM13","eQCCM",95,0,0,0,0,0,1,"Eastern",1
"eQCCM14","eQCCM",95,0,0,0,0,0,1,"Eastern",1
"eQCCM15","eQCCM",94,0,0,0,0,0,1,"Eastern",1
"eQCCM16","eQCCM",94,0,0,0,0,0,0.99999,"Eastern",0.99999
"eQCCM17","eQCCM",95,0,0,0,0,0,1,"Eastern",1
"eONHI01","eONHI",95,0,0,0,0,0,0.99999,"Eastern",0.99999
"eONHI02","eONHI",92,0,0,0,0,0,1,"Eastern",1
"eONHI03","eONHI",95,0,0,0,0,0,1,"Eastern",1
"eONHI04","eONHI",95,0,0,0,0,0,1,"Eastern",1
"eNBFR01","eNBFR",90,0,0,0,0,0,1,"Eastern",1
"eNBFR02","eNBFR",94,0,0,0,0,0,1,"Eastern",1
"eNBFR03","eNBFR",95,0,0,0,0,0,1,"Eastern",1
"eNBFR04","eNBFR",94,0,0,0,0,0,1,"Eastern",1
